id,name,votes,rating,phone,address,zip,cuisine
1033,Forty Five Oaks Cafe - Lincoln Plaza,13,4.5,(214) 740-4071,500 N Akard St2nd Fl,75201,Cafes
1034,La Victoria,79,4,(214) 827-0101,1605 N Haskell Ave,75204,Mexican
1035,Burger Bueno,203,4,(972) 387-3400,13021 Coit Rd,75240,Burgers
1036,Zoës Kitchen,31,4,(214) 887-6330,2009 Abrams Pkwy,75214,Southern
1037,Bazille,80,4,(214) 231-3819,Nordstrom8687 N Central Expy,75225,American (New)
1038,LUCK - Local Urban Craft Kitchen,341,4,(469) 250-0679,3011 Gulden LnSte 112,75212,American (New)
1039,Urban Taco,275,3.5,(214) 922-7080,3411 McKinney Ave,75204,Mexican
1040,Fresh Market,27,4,(214) 352-2296,6300 Harry Hines BlvdSte 130,75235,Delis
1041,Kenny’s Italian Kitchen,385,4.5,(972) 661-9380,5100 Belt Line RdSte 764,75254,Italian
1042,The Crab Station - Oyster Bar,23,4,(972) 889-3888,9780 Walnut StSuite 270,75243,Seafood
1043,Alligator Cafe,69,3.5,(214) 748-6901,2912 Elm St,75226,Cajun/Creole
1044,Pappadeaux Seafood Kitchen,244,4,(214) 521-4700,3520 Oak Lawn Ave,75219,Cajun/Creole
1045,Café Brazil,270,3.5,(214) 691-7791,6420 N Central Expy,75206,Breakfast & Brunch
1046,Taqueria El Paisano No 1,102,4,(214) 352-1259,2911 Lombardy LnSte 101,75220,Mexican
1047,Torchy’s Tacos,301,4,(214) 379-1550,14760 Preston RdSte 124,75254,Mexican
1048,Scalini’s Pizza and Pasta,206,3.5,(214) 821-8088,2021 Abrams Rd,75214,Pizza
1049,Preston Hollow Grill,25,4.5,(469) 930-8212,4343 W Northwest HwySte 300,75220,American (New)
1050,Sammy’s Bar-B-Q,104,4,(214) 880-9064,2126 Leonard St,75201,Barbeque
1051,Souk,206,3.5,(469) 458-2233,3011 Gulden LnSte 114,75212,Moroccan
1052,Dream Cafe,397,3.5,(214) 954-0486,2800 Routh StSte 170,75201,Breakfast & Brunch
1053,Greenville Avenue Pizza Company,265,3.5,(214) 826-5404,1923 Greenville Ave,75206,"Pizza,Pizza"
1054,Nick and Sam’s Grill,69,3.5,(214) 379-1111,8111 Preston RdSte 150,75225,American (New)
1055,Trinity Hall Irish Pub,326,4,(214) 887-3600,5321 E Mockingbird Ln,75206,"Pubs,Sports Bars,Pubs,Pubs,American (New),Tapas Bars"
1056,Quesa,68,4,(214) 443-8351,3900 Cedar Springs,75219,Mexican
1057,Holy Ravioli,15,4.5,(214) 696-3993,4446 Lovers Ln,75225,Italian
1058,Fireside Pies,84,4,(214) 357-3800,7709 Inwood Rd,75209,Pizza
1059,Clark Food & Wine Co,85,3.5,(214) 515-5500,1920 Greenville Ave,75206,American (Traditional)
1060,Jimmy’s Food Store,489,4.5,(214) 823-6180,4901 Bryan St,75206,Grocery
1061,Oak,202,3.5,(214) 712-9700,1628 Oak Lawn AveSte 110,75207,American (New)
1062,Chip’s Old Fashioned Hamburgers,87,4,(469) 334-0785,6115 La Vista Dr,75214,Hot Dogs
1063,Salum Restaurant,96,4,(214) 252-9604,4152 Cole AveSte 103,75204,American (New)
1064,Loca Luna Mexican Cuisine,112,4,(972) 716-9907,5301 Alpha RdSte 80,75240,Mexican
1065,C Senor,79,4,(214) 941-4766,330 W Davis St,75208,Cuban
1066,Jen’s Place,78,4,(972) 991-3663,4455 Alpha Rd,75244,Sandwiches
1067,El Corazon de Tejas,105,4,(214) 943-8610,110 W Davis St,75208,Mexican
1068,Nobu Dallas,313,4,(214) 252-7000,400 Crescent Ct,75201,Japanese
1069,Zio Cecio,51,4,(214) 351-1100,4615 W Lovers Ln,75209,Italian
1070,Bone Daddy’s House of Smoke,298,4,(214) 575-3050,8856 Spring Valley Rd,75240,Barbeque
1071,Latin Deli,246,4.5,(214) 363-5551,5844 Abrams Rd,75214,Latin American
1072,The Standard Pour,212,3.5,(214) 935-1370,2900 McKinney Ave,75204,Lounges
1073,Le Bilboquet,61,4,(469) 730-2937,4514 Travis StSte 124,75205,French
1074,Buzzbrews Kitchen,203,3.5,(214) 741-2801,2801 Commerce St,75226,American (Traditional)
1075,Eddie V’s Prime Seafood and Steak,333,4.5,(214) 890-1500,4023 Oak Lawn AveSte 110,75219,Steakhouses
1076,Pho Kitchen,43,4,(214) 706-3595,8687 N Central Expressway,75225,Vietnamese
1077,Digg’s Taco Shop,110,4,(214) 520-0155,6309 Hillcrest Ave,75205,Mexican
1078,Liberty Burger,248,4.5,(214) 954-7223,5181 Keller Springs Rd,75248,Burgers
1079,Campuzano,123,4,(214) 526-0100,2618 Oak Lawn Ave,75219,Mexican
1080,Cindi’s NY Delicatessen Restaurant & Bakery,88,4,(972) 241-9204,3565 Forest Ln,75234,Delis
1081,Smoke,666,4,(214) 393-4141,901 Fort Worth Ave,75208,American (New)
1082,Rodeo Goat,407,4,(214) 741-4628,1926 Market Center Blvd,75207,Burgers
1083,Campuzano,123,4,(214) 526-0100,2618 Oak Lawn Ave,75219,Mexican
1084,Cindi’s NY Delicatessen Restaurant & Bakery,88,4,(972) 241-9204,3565 Forest Ln,75234,Delis
1085,Gloria’s Latin Cuisine,232,4,(214) 874-0088,3715 Greenville Ave,75206,Mexican
1086,Hook Line & Sinker,244,3.5,(214) 965-0707,3103 Lemmon Ave,75204,Seafood
1087,Pera Wine & Tapas,87,4.5,(972) 404-1700,6006 Beltline Rd,75254,Wine Bars
1088,Ai Sushi Sake Grill,135,4,(214) 468-4587,4123 Cedar Springs RdSte 102,75219,Sushi Bars
1089,Flying Saucer Draught Emporium,371,4,(972) 991-7093,14999 Montfort Dr,75254,Pubs
1090,Nammi,12,4.5,(972) 252-2052,13331 Preston Rd,75240,Food Trucks
1091,Rafa’s Cafe Mexicano,121,4,(214) 357-2080,5617 W Lovers Ln,75209,Mexican
1092,Ming Place China Bistro,164,3.5,(214) 350-8188,5715 Lemmon AveSte 3,75209,Chinese
1093,Serj Books,68,5,(469) 759-3585,400 N St Paul St,75201,Coffee & Tea
1094,Asador,58,4,(214) 267-4815,Renaissance Dallas Hotel2222 N Stemmons Fwy,75207,American (New)
1095,Saucy’s Thai & Pho,90,4,(214) 378-8424,5944 Royal Ln,75230,Thai
1096,Miss Chi Vietnamese,84,4,(214) 692-1000,6030 Luther LnSte 130,75225,Vietnamese
1097,Princi Italia,104,4,(214) 739-5959,5959 Royal LnSte 707,75230,Italian
1098,The Idle Rich Pub,217,4,(214) 965-9926,2614 McKinney Ave,75204,Pubs
1099,Edohana Sushi,119,3.5,(214) 599-0093,3839 McKinney AveSte 130,75204,Sushi Bars
1100,Marie Gabrielle Restaurant,23,4,(214) 871-2097,2728 N Harwood St,75201,American (New)
1101,Wild Salsa,284,3.5,(214) 741-9453,1800 Main StSte 100,75201,Mexican
1102,Sura Korean Bistro,176,4,(972) 243-5656,2240 Royal Ln,75229,Korean
1103,The Heights,21,3.5,(214) 824-5800,2015 Abrams Rd,75214,American (New)
1104,Celebration,283,4,(214) 351-5681,4503 W Lovers Ln,75209,American (Traditional)
1106,Half Shells Oyster Bar & Grill,83,4,(214) 691-8164,6617 Snider Plz,75205,Seafood
1107,eatZi’s Market & Bakery,512,4,(214) 526-1515,3403 Oak Lawn Ave,75219,Bakeries
1108,Chuy’s,369,3.5,(214) 559-2489,4544 McKinney Ave,75205,Mexican
1109,Taqueria Latina,23,4,(214) 553-5100,6412 Skillman,75231,Mexican
1110,Great American Hero,178,4,(214) 521-2070,4001 Lemmon Ave,75219,Fast Food
1111,La Hacienda Chichen - Itza,17,4.5,(214) 828-0197,5710 Richmond Ave,75206,Bakeries
1112,Coal Vines,217,3.5,(214) 855-4999,2404 Cedar Springs RdSte 500,75201,Pizza
1113,Veracruz Café,193,4,(214) 948-4746,408 N Bishop Ave,75295,Mexican
1114,Urban Vines Wine Bistro,55,4,(214) 328-9463,9219 Garland RdSte 1102,75218,Cafes
1115,Lazy Dog Restaurant & Bar,74,4.5,(469) 754-1300,5100 Beltline RdSte 500,75254,Bars
1116,Dal Dong Ne,98,4,(972) 484-2994,11445 Emerald StSte 109,75229,Korean
1117,Oishii,254,3.5,(214) 599-9448,2525 Wycliff AveSte 110,75219,Sushi Bars
1118,Ocean Prime,289,4,(214) 965-0440,2101 Cedar Springs Rd,75201,Seafood
1119,The Free Man,207,3.5,(214) 377-9893,2626 Commerce St,75226,Cajun/Creole
1120,Al Kabob Grill & Cafe,33,4.5,(972) 620-9300,11350 Harry Hines Blvd,75229,Indian
1121,Taco Stop,83,4,(972) 971-4859,1900 Irving Blvd,75207,Mexican
1122,Bennys Classic Grill,67,4,(214) 324-1312,10302 Garland Rd,75218,Sandwiches
1123,Kona Grill,398,3.5,(214) 369-7600,Northpark center8687 N Central Exwy,75225,American (New)
1124,Elaine’s Kitchen,76,4,(214) 565-1008,2717 Martin Luther King Junior Blvd,75215,Caribbean
1125,Piggie Pies Pizza & Pasta,150,4,(214) 821-6465,5315 Greenville AveSte 120B,75206,Pizza
1126,Coconut’s Fish Cafe,105,4.5,(469) 729-9346,5600 W Lovers Ln,75209,Seafood
1127,High Fives,27,4,(214) 821-5555,1804 McMillan,75206,Bars
1128,Hunky’s Hamburgers,133,4,(214) 941-3322,321 N Bishop Ave,75208,Burgers
1129,MAX’s Wine Dive,435,3.5,(214) 559-3483,3600 McKinney AveSte. 100,75204,Wine Bars
1130,Record Grill,30,4,(214) 742-1353,605 Elm St,75202,American (Traditional)
1131,All Good Cafe,361,3.5,(214) 742-5362,2934 Main St,75226,Breakfast & Brunch
1132,Angela’s Cafe,70,4,(214) 904-8122,7979 Inwood Rd,75209,Breakfast & Brunch
1133,Sushi Bayashi at Trinity Groves,85,3.5,(972) 684-5906,3011 Gulden LnSte 106,75212,Sushi Bars
1134,The Mercury,133,4,(972) 960-7774,11909 Preston RdSte 1418,75230,American (New)
1135,Ascension Coffee,426,4,(214) 741-3211,1621 Oak Lawn Ave,75207,Coffee & Tea
1136,WaiWai Kitchen,122,3.5,(214) 520-8868,4315 Lemmon Ave,75219,Asian Fusion
1137,Henry’s Majestic,169,4,(469) 893-9400,4900 McKinney Ave,75205,Bars
1138,Sweet Georgia Brown Bar-B-Que Buffet,205,4,(214) 375-2020,2840 E Ledbetter Dr,75216,Barbeque
1139,Del Frisco’s Grille,291,3.5,(972) 807-6152,3232 McKinney Ave,75204,Steakhouses
1140,Stratos Greek Taverna,198,3.5,(214) 352-3321,2907 W Northwest Hwy,75220,Greek
1141,Anvil Pub,256,3.5,(214) 741-1271,2638 Elm St,75226,Pubs
1142,The Cheesecake Factory,203,3.5,(214) 373-4844,7700 W Northwest Hwy,75225,American (Traditional)
1143,Thai Lotus Kitchen,101,4,(214) 520-9385,3851 Cedar Springs RdSte D,75219,Thai
1144,Tallywackers,159,3,(469) 914-5213,4218 Lemmon Ave,75219,American (Traditional)
1145,Cafe Madrid,177,3.5,(214) 528-1731,4501 Travis St,75205,Spanish
1146,Grimaldi’s Pizzeria,152,3.5,(214) 987-1173,8060 Park LnSte 105,75231,Pizza
1147,Bryan Street Tavern,216,4,(214) 821-4447,4315 Bryan St,75204,Pizza
1148,Velvet Taco,1174,4,(214) 823-8358,3012 N Henderson Ave,75206,American (New)
1149,City Tavern,177,3.5,(214) 745-1402,1402 Main St,75202,Bars
1150,Black Friar Pub,158,4,(214) 953-0599,2621 McKinney Ave,75204,Pubs
1151,Crisp Salad Company,102,4,(214) 821-2467,2020 Greenville Ave,75206,Salad
1152,Yolk One Arts Plaza,86,4,(214) 855-9655,1722 Routh St,75201,Breakfast & Brunch
1153,Pho Crimson,141,3.5,(469) 547-5443,3000 Blackburn StSte 140C,75204,Vietnamese
1154,Pizza Lounge,207,3.5,(214) 887-6900,841 Exposition Ave,75226,Pizza
1155,MoMo Italian Kitchen,115,4,(972) 234-6800,8989 Forest LnSte 130,75243,Italian
1156,Peggy Sue BBQ,167,3.5,(214) 987-9188,6600 Snider Plz,75205,"Barbeque,American (Traditional),Italian"
1157,Seafood Shack,146,3.5,(972) 406-0890,11625 Webbs Chapel Rd,75229,Seafood
1158,Amberjax Fish Market Grille,151,3.5,(469) 513-9088,3011 Gulden LnSte 107,75212,Seafood
1159,Full Circle Tavern,142,4.5,(214) 208-3435,1319 S Lamar St,75215,American (Traditional)
1160,Parigi Restaurant,129,4,(214) 521-0295,3311 Oak Lawn AveSte 102,75219,Italian
1161,Suze,51,4,(214) 350-6135,4345 W Northwest Hwy,75220,"American (New),French Restaurants,Breakfast & Brunch"
1162,IVY Kitchen,49,4,(214) 306-7444,5411 Beltline Rd,75254,American (New)
1163,State & Allen Kitchen+Bar,191,3.5,(214) 239-1990,2400 Allen St,75204,American (Traditional)
1164,Empire Baking Company,33,4,(214) 350-0007,5450 W Lovers LnSte 132,75209,Bakeries
1165,Urban Taco,224,3.5,(214) 823-4723,5331 E Mockingbird LnSte 125,75206,Mexican
1166,Greek Cafe and Bakery,94,4,(214) 943-1887,334 W Davis St,75208,Greek
1167,Lazaranda Modern Kitchen & Tequila,236,4,(972) 866-8900,5000 Beltline RdSte 850,75254,Mexican
1168,Seafood Shack,55,3.5,(214) 351-2000,3701 W NW HwySte 195,75220,Seafood
1169,Pho Is For Lovers,305,3.5,(972) 708-1028,5521 Greenville AveSte 105,75206,Vietnamese
1170,The People’s Last Stand,212,4,(214) 370-8755,5319 E Mockingbird LnSte 210,75206,Bars
1171,Cisco Grill,25,4,(214) 363-9506,6630 Snider Plz,75205,"American (Traditional),Italian,Barbeque"
1172,Joe’s Pizza Pasta and Subs,25,4,(214) 272-9007,4343 West Northwest Hwy,75220,Pizza
1173,Kuai Dumplings & Soups,49,4,(214) 571-4544,Renaissance Tower1201 Elm St,75202,Asian Fusion
1174,Company Cafe,112,3.5,(214) 827-2233,2104 Greenville Ave,75206,Cafes
1175,Louie’s,215,3.5,(214) 826-0505,1839 N Henderson Ave,75206,Dive Bars
1176,The Grill on the Alley,98,4,(214) 459-1601,13270 Dallas Pkwy1155,75240,American (New)
1177,Zoës Kitchen,51,4,(469) 341-0123,6025 Royal LnSte 104,75230,Southern
1178,"Cindi’s N.Y. Delicatessen, Restaurant & Bakery",190,3.5,(214) 739-0918,11111 N Central ExpySte G,75243,Delis
1179,Chicken Scratch,298,3.5,(214) 749-1112,2303 Pittman St,75208,Southern
1180,European In Texas Market & Deli,26,4.5,(214) 696-5441,11613 N Central ExpySte 111A,75243,Delis
1181,Rise No 1,481,4.5,(214) 366-9900,5360 W Lovers LnSte 220,75209,French
1182,Tony’s Pizza & Pasta Restaurant,145,4,(214) 503-0388,10233 E NW HwySte 504,75238,Pizza
1183,Kazy’s Gourmet Shop,132,4,(972) 235-4831,9256 Markville Dr,75243,Sushi Bars
1184,Burger House,82,4,(214) 361-0370,6913 Hillcrest Ave,75205,Burgers
1185,Sushi House,64,4,(214) 350-2100,5619 W Lovers Ln,75209,Sushi Bars
1186,Tortas La Hechizera,58,4,(214) 688-0236,5611 Maple Ave,75235,Mexican
1187,Dicks’ Succulent Chicken,13,4.5,(469) 708-0512,2910 Ruder St,75212,Cajun/Creole
1188,Pakpao Thai Food,14,2.5,(214) 484-8772,7859 Walnut Hill LnSte 150,75230,Thai
1189,Grand Lux Cafe,298,3.5,(972) 385-3114,13420 N Dallas Pkwy,75240,Desserts
1190,Mangiamo Italian Restaurant,61,4,(214) 866-0044,12835 Preston RdSte 220,75230,Italian
1191,Gordon Biersch Brewery Restaurant,183,3.5,(214) 369-2739,8060 Park LnSte 125,75231,Breweries
1192,Maple Leaf Diner,33,4.5,(214) 434-1626,12817 Preston RdSte 129,75230,American (Traditional)
1193,Uncle Uber’s,567,4.5,(214) 653-8237,2713 Commerce St,75226,Sandwiches
1194,Kin Kin Urban Thai,54,4,(972) 925-0006,3211 Oak Lawn Ave,75219,Thai
1195,Stampede 66,302,3.5,(214) 550-6966,1717 Mckinney AveSte 100,75201,American (New)
1196,Dairy Ette,119,4,(469) 480-3340,9785 Ferguson Rd,75228,Burgers
1197,Matt’s Rancho Martinez,202,3.5,(214) 823-5517,1904 Skillman St,75206,Mexican
1198,JGs Old Fashioned Hamburgers,104,4,(972) 644-8628,12101 N Greenville Ave Ste 109Ste 109,75243,Burgers
1200,Torteria Insurgentes,16,4.5,(214) 750-5542,7019 Holly Hill Dr,75231,American (New)
1201,Howard Wang’s Uptown,161,3.5,(214) 954-9558,3223 Lemmon AveSte 103,75204,Cantonese
1202,The Blue Fish,252,3.5,(214) 824-3474,3519 Greenville Ave,75206,Sushi Bars
1203,Cedar Springs Tap House,101,3.5,(214) 377-7446,4123 Cedar Springs RdSte 100,75219,American (Traditional)
1204,Medina Oven & Bar,263,4.5,(214) 979-0003,2304 Victory Park Ln,75219,Moroccan
1205,Deep Sushi,267,3.5,(214) 651-1177,2624 Elm St,75226,Sushi Bars
1206,Madrina,13,4.5,(469) 513-2505,4216 Oak Lawn Ave,75219,"Mexican,Cocktail Bars"
1207,La Calle Doce,137,4,(214) 941-4304,415 W 12th St,75208,"Seafood,Mexican,Mexican"
1208,Big Tony’s West Philly Cheesesteaks,32,4.5,(214) 812-9092,13378 Preston Rd,75240,Cheesesteaks
1209,Bachman Tacos,21,4,(214) 352-0010,3311 W Northwest Hwy,75220,Mexican
1210,Pier 247 Dallas,159,3.5,(214) 948-3232,247 W Davis St,75208,Seafood
1211,Texadelphia,71,4,(214) 265-8044,5500 Greenville AveSte 600,75206,Sandwiches
1212,El Ranchito,21,4.5,(214) 324-3303,1141 Peavy Rd,75218,Mexican
1213,Sweet Tomatoes,77,4,(214) 369-2200,5500 Greenville AveUnit 1320,75206,Salad
1214,Chip’s Old Fashioned Hamburgers,85,4,(214) 691-2447,4530 Lovers Ln,75225,Burgers
1215,E Bar Tex Mex,239,4.5,(214) 824-3227,1901 N Haskell AveSte 120,75204,Mexican
1216,Pera Turkish Kitchen,209,4.5,(972) 267-4444,17479 Preston Rd,75252,Mediterranean
1217,The Social House,305,3.5,(972) 392-4300,5100 Belt Line RdSte 410,75254,American (New)
1218,The Nodding Donkey Greenville,96,3.5,(214) 347-7182,5600 SMU BlvdSte 120,75206,American (New)
1219,Shinsei,167,4,(214) 352-0005,7713 Inwood Rd,75209,Asian Fusion
1220,Mario Bros Tacos,6,5,(469) 230-5838,5942 Abrams Rd,75231,Mexican
1221,Herrera’s Cafe,23,4,(214) 954-7180,3311 Sylvan Ave,75212,Tex-Mex
1222,Aderet,18,4.5,(972) 726-9800,13410 Preston Rd,75240,Middle Eastern
1223,Campisi’s,232,3.5,(214) 827-0355,5610 E Mockingbird Ln,75206,Italian
1224,Mac’s Barbecue,54,4,(214) 823-0731,3933 Main St,75226,Barbeque
1225,Javier’s Gourmet Mexicano,288,3.5,(214) 521-4211,4912 Cole Ave,75205,Mexican
1226,Pink Magnolia,52,4,(469) 320-9220,642 W. Davis St,75208,American (Traditional)
1227,El Paisa Cocina Mexicana,28,4.5,(214) 352-3343,2574 Walnut Hill Ln,75229,Mexican
1228,Ba Le Restaurant,105,4,(972) 613-2960,11404 Shiloh RdSte 101,75228,Vietnamese
1229,El Ranchito,134,4,(214) 946-4238,610 W Jefferson Blvd,75208,Mexican
1230,Kaze,70,4,(214) 987-2333,7525 Greenville Ave,75231,Japanese
1231,Tupinamba Cafe,40,4,(972) 991-8148,9665 N Central ExpwySte 142,75231,Tex-Mex
1232,Manny’s Uptown Tex-Mex Restaurante,204,3.5,(214) 252-1616,3521 Oak Grove Rd,75204,Tex-Mex
1233,Green Papaya,222,3.5,(214) 521-4811,3211 Oak Lawn AveSte B,75219,Vietnamese
1234,The Varsity Grill,33,4.5,(214) 342-3000,9310 Forest Ln,75243,Burgers
1235,JJ’s Cafe,68,3.5,(214) 221-4659,10233 E NW HwySte 434,75238,American (Traditional)
1236,Cafe Istanbul,114,3.5,(214) 902-0919,5450 W Lovers Ln,75209,Middle Eastern
1237,Bánh Shop,196,4,(214) 890-9776,5629 SMU Blvd,75206,Vietnamese
1238,The Capital Grille,268,4.5,(214) 303-0500,500 Crescent Ct,75201,Steakhouses
1239,Gloria’s Restaurant,332,4,(972) 387-8442,5100 Belt Line RdSte 864,75254,Latin American
1240,Dante’s Italian Eatery,41,4,(214) 760-1988,208 N Market StSte 150,75202,Italian
1241,Green Spot Market & Fuels,70,4.5,(214) 319-7768,702 N Buckner Blvd,75218,Gas & Service Stations
1242,Oak Cliff Social Club,32,4,(214) 941-0298,238 W Davis St,75208,Sports Bars
1243,Chino Chinatown,216,3.5,(469) 513-7457,3011 Gulden LnSte 110,75212,Asian Fusion
1244,Saint Ann,275,3,(214) 782-9807,2501 N Harwood St,75201,American (New)
1245,Neighbors Casual Kitchen,51,3.5,(214) 349-2233,9661 Audelia RdSte 105,75238,American (New)
1246,The T Room,17,4,(214) 559-2332,4510 McKinney Ave,75205,Cafes
1247,Be Raw Food & Juice,124,4,(214) 234-0106,6005 Berkshire Ln,75225,Vegetarian
1248,The Grape Restaurant,402,4,(214) 828-1981,2808 Greenville Ave,75206,American (New)
1249,Senor Bean Mexican Grill- Cantina,46,3.5,(214) 989-7965,708 Olive St,75201,Mexican
1250,Sevan G & G Cafe,126,4,(214) 821-0601,2221 Greenville Ave,75206,Mediterranean
1251,Press Box Grill,151,3.5,(214) 747-8226,1623 Main St,75201,Sports Bars
1252,Carmine’s Pizza,89,3.5,(214) 520-6000,2006 San Jacinto St,75201,Pizza
1253,In-N-Out Burger,326,3.5,(800) 786-1000,7940 N Central Expy,75206,Burgers
1254,Ashwood Bar & Kitchen,108,3,(214) 346-9464,5500 Greenville AveSte 1300,75206,Sports Bars
1255,The Lot,178,3,(214) 321-1990,7530 E Grand Ave,75214,Gastropubs
1256,Rocking Crab,76,3.5,(972) 241-4406,11407 Emerald StSte 101,75229,Cajun/Creole
1257,Oh Sushi Roll & Teriyaki,17,4.5,(972) 869-9135,2053 W Northwest HwySte 90,75220,Sushi Bars
1258,Best Burger,15,4.5,(214) 238-2555,2031 S Buckner Blvd,75217,American (Traditional)
1259,Cafe Strada,75,4.5,(214) 202-6485,1520 ElmSte 107,75203,Cafes
1260,Jakes Uptown,188,3.5,(214) 754-8001,2702 McKinney AveSte 101,75204,Burgers
1261,Big Mama’s Chicken & Waffles,96,3.5,(214) 340-3035,9810 Forest Ln,75243,Soul Food
1262,Cedars Xpress,15,4,(214) 969-5701,1700 Pacific AveC -101,75201,Mediterranean
1263,Bocce,77,4,(214) 943-1714,244 W Davis St,75208,Italian
1264,Tanoshii Ramen,341,3,(214) 651-6800,2724 Commerce St,75226,Ramen
1265,Rusty Taco,327,3.5,(214) 613-0508,4802 Greenville Ave,75206,Mexican
1266,Eden Restaurant and Pastries,53,4,(972) 267-3336,4416 W Lovers Ln,75209,American (Traditional)
1267,Lovers Pizzeria & Pasta,83,4,(214) 321-2223,9440 Garland RdSte 162,75218,Italian
1268,Pollo Tropical,169,4,(972) 770-3540,5290 Beltline Rd,75254,Caribbean
1269,Seoul Garden,156,4,(972) 484-6090,2502 Royal LnSte 103,75229,Korean
1270,The Slow Bone,258,4,(214) 377-7727,2234 Irving Blvd,75207,Barbeque
1271,Highland Park Soda Shop,121,3.5,(214) 521-2126,3229 Knox St,75205,Ice Cream & Frozen Yogurt
1272,Margarita’s Restaurant,22,4.5,(214) 821-9366,2414 N Fitzhugh Ave,75204,Mexican
1273,Mexicali Restaurant,77,4,(214) 341-9405,11277 E NW HwySte 148,75238,Tex-Mex
1274,House of Blues,321,3.5,(214) 978-2583,2200 N Lamar St,75202,Music Venues
1275,Ozona Grill & Bar,241,3,(214) 265-9105,4615 Greenville Ave,75206,Breakfast & Brunch
1276,Villa-O,275,3.5,(214) 780-1880,4514 Travis StSte 132,75205,Italian
1277,Fernando’s Mexican Cuisine,94,3.5,(214) 521-8600,4514 Travis StSte 201,75205,Mexican
1278,Blue Mesa Grill,187,3.5,(214) 378-8686,7700 W NW Hwy,75225,Mexican
1279,Saltgrass Steak House,99,4,(469) 330-0152,13561 N Central Expy,75243,Steakhouses
1280,Baby Back Shak,84,4,(214) 428-7427,1800 S Akard St,75215,Barbeque
1281,Truck Yard,498,4,(469) 500-0139,5624 Sears St,75206,"Food Trucks,Burgers,Burgers,Burgers,Burgers,Burgers"
1282,Sahara Restaurant,106,4,(972) 788-1898,5441 Alpha RdSte 110,75240,Middle Eastern
1283,Southpaw’s Organic Grill,86,3.5,(214) 754-0100,3227 Mckinney AveSte 100,75204,Sandwiches
1284,Franki’s Pizza & Pasta,71,4,(469) 335-0345,11722 Marsh Ln,75229,Italian
1285,Thai 2 Go,141,3.5,(214) 484-2161,2222 Medical District DrSte 205,75235,"Thai,Chinese,Coffee & Tea"
1286,La Conga,14,4,(214) 377-9947,1820 W Mockingbird Ln,75235,Mexican
1287,Unrefined,49,4.5,(214) 414-2414,718 N Buckner BlvdSte 154,75218,Bakeries
1288,Opening Bell Coffee,129,4.5,(214) 565-0383,1409 S Lamar StBasement Ste 012,75215,Coffee & Tea
1289,Pappasito’s Cantina,188,3.5,(214) 350-1970,10433 Lombardy Ln,75220,Tex-Mex
1290,Al Biernat’s,397,4,(214) 219-2201,4217 Oak Lawn Ave,75219,Breakfast & Brunch
1291,Babb Bros BBQ,133,3.5,(214) 745-2224,330 Bedford St,75212,Barbeque
1292,Project Pie,48,4.5,(469) 547-1257,6030 Luther Ln,75225,Pizza
1293,Red Hot & Blue,183,3.5,(214) 368-7427,9810 N Central ExpySte 600,75231,Barbeque
1294,Not Just Q,7,5,(817) 995-0053,6949 Hunnicut Rd,75227,Food Trucks
1295,Pie Five Pizza Co.,34,4,(214) 526-7435,5927 Greenville Ave.,75206,Pizza
1296,Johns Backyard Grill,25,4.5,(972) 733-1045,17604 Davenport Rd,75252,American (New)
1297,Taco Diner,283,3.5,(214) 521-3669,3699 McKinney Ave,75204,Mexican
1298,Sunrise Asian Cuisine,52,3.5,(214) 826-6300,5631 Alta Ave,75206,Asian Fusion
1299,Sangria Tapas Y Bar,225,3.5,(214) 520-4863,4524 Cole Ave,75205,Spanish
1301,DanSungSa,116,4,(469) 522-7399,11407 Emerald St,75229,"Bars,Bars"
1303,Trinity Groves,18,4.5,(214) 744-0100,425 Bedford St,75212,American (New)
1304,Nazca Kitchen,334,4.5,(214) 696-2922,8041 Walnut Hill LnSte 854,75231,"Latin American,Barbecue"
1305,Iron Cactus,368,3,(214) 749-4766,1520 Main St,75201,Mexican
1306,Meerut Kabob House,14,4.5,(972) 243-5407,11276 Harry Hines Blvd,75229,Indian
1307,Dixie House,90,3.5,(214) 826-2412,6400 Gaston Ave,75214,American (Traditional)
1308,Gino’s Cheese Steak,89,4,(972) 233-4466,5528 Alpha RdSte 105,75240,Cheesesteaks
1309,Penne Pomodoro,88,3.5,(214) 373-9911,6815 Snider Plz,75205,Italian
1310,C’Viche,56,3.5,(214) 238-3509,1922 Greenville Ave,75206,Latin American
1311,Angelika Film Center & Café - Dallas,222,4.5,(214) 841-4713,5321 E Mockingbird LaneSte 230,75206,Cinema
1312,Sandbar Cantina and Grill,45,4,(214) 647-1424,317 S 2nd Ave,75226,Bars
1313,St Martin’s Wine Bistro,191,4.5,(214) 826-0940,3020 Greenville Ave,75206,French
1314,Dickey’s Barbecue Pit,32,4,(214) 358-7277,"Love Field Airport8006 Cedar Springs, Space C-2190",75235,Barbeque
1315,Firexbox,158,4,(214) 503-8888,9918 Plano Rd,75238,Japanese
1316,Snappy Salads,76,4,(214) 361-7627,5941 Greenville Ave,75206,Salad
1317,Antoine’s Foods,32,4,(214) 528-5291,4234 Harry Hines Blvd,75219,Delis
1318,Ravenna Urban Italian Restaurant,108,3.5,(214) 744-9333,1301 Main St,75202,Italian
1319,Marianos Hacienda Ranch,156,3.5,(214) 691-3888,6300 Skillman StBldg J,75231,Tex-Mex
